"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
130057,202203,"-0.674","0.33","7.423","10.40","-0.5249899040403104","-1.2225515290313893","-0.05460000000000065","-0.3630000000000001",NULL,NULL,"-157.84397701617098",NULL,NULL,NULL,"-15.516273756420995","-52.60125691535713",NULL
130091,201203,NULL,"-4.10",NULL,"9.51","-30.69315679425278",NULL,"-2.9195288999999995",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289995,201603,NULL,"0.46",NULL,"12.66","13.90071145995374",NULL,"1.7604000000000006",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101314,202203,"-16.702","0.32","12.729000000000001","9.02","6.273279531748849","-40.839814596590465","0.565900000000001","-20.794000000000004",NULL,NULL,NULL,NULL,NULL,NULL,"18.79382724898293",NULL,NULL
200556,202203,"348.96","818.04","1728.64","2992.46","35.77357759168042","1.6547690670122188","1070.51","114.42000000000007",NULL,"-34.68686140558959","-67.30693729504833","-34.68686140558959","-35.55169051603235","-34.68766791762259","-23.99571074391188","-78.4926199396484","-60.68118805538665"
132475,202203,"19.079","49.44","460.101","226.10","16.643254948305515","1.5752519555488902","37.62999999999997","28.990999999999996",NULL,"-37.87898072633784","-12.22628324998034","-37.87898072633784","-10.546981778654684","-47.549431637331885","42.65148841592914","-69.23507357881276","-77.9205735591228"
100233,202203,"348.31","382.74","4635.07","3705.19","16.482015767072674","3.3815562656011675","610.69","626.95",NULL,"-4.603806602184946","1.3225355091403879","-4.603806602184946","-2.572436783582832","-11.66419422834596","11.846631017132193","-54.704699378195734","-57.38428746099204"
190067,202203,"66.16","3.58","345.681","319.40","4.3815486846743985","1.396591076744166","13.99449999999996","19.311",NULL,"329.8889034084771","17.469112797041795","329.8889034084771","291.3184088276178","330.04072338767037","4.032802735889662","-43.542608233814825","93.16892664393876"
131213,202203,"1203.8799999999999","1328.71","10040.76","6061.02","64.79870213221608","13.628350841968139","3927.4610000000002","5473.56",NULL,"-4.813250166370652","18.05353631186888","-4.813250166370652","-3.361188765965406","-4.322416365199732","28.7094500564389","-54.13953024327358","-62.888321782430445"
286712,202203,"9.966","5.24","120.489","58.74","22.310347997507737","4.0470499381686285","13.105500000000006","19.505",NULL,"37.90969497996015","21.996165358959672","37.90969497996015","42.12084873422894","16.314792497225206","43.22100895300183","-57.40916942560369","-51.911674518035646"
